,node,X,Y,ki,n,C,Lp_no_length,Lp_length,Gm_no_length,Gm_length,IIc
0,1,119.038491601,37.837748301,1,1,0.0,553.0,313519.6356,0,0,
1,2,119.038504251,37.835826481,4,4,0.666666666667,48.3,29858.78348,118,70,
2,3,119.038486894,37.8298971752,3,3,1.0,79.3333333333,44489.35423,92,10,
3,4,119.038468941,37.8285756102,3,3,1.0,75.3333333333,44252.04845,113,100,
4,5,119.038407756,37.8241099686,3,3,1.0,72.0,42930.2323167,132,87,
5,6,119.038378245,37.8219555215,3,3,1.0,71.0,42933.9974967,389,62,
6,7,119.038268665,37.8139527773,3,3,1.0,71.0,43793.6905333,398,62,
7,8,119.038078767,37.7885798962,2,2,2.0,152.666666667,139900.764107,264,0,
8,9,119.042284721,37.814374637,4,4,0.666666666667,43.6,24708.999739,216,298,
9,10,119.078055703,37.7777485588,3,3,1.0,78.3333333333,85548.9906417,464,448,
10,11,119.124506896,37.7667708058,4,4,0.666666666667,52.8,76096.156911,399,399,
11,12,119.121183918,37.7784092646,2,2,2.0,197.333333333,281911.53189,204,204,
12,13,119.131922103,37.8098175314,3,3,1.0,109.666666667,180690.195075,139,139,
13,14,119.120892236,37.8171439319,1,1,0.0,728.0,1172813.42195,0,0,
14,15,119.136325666,37.822634593,1,1,0.0,728.0,1187359.59835,0,0,
15,16,119.166941151,37.777149077,1,1,0.0,598.0,1034816.07941,0,0,
16,17,119.154982267,37.762472502,1,1,0.0,598.0,951880.46651,0,0,
17,18,119.053262016,37.810331759,5,5,0.5,32.0,18782.3409393,345,539,
18,19,119.047992291,37.806150124,3,3,1.0,90.6666666667,48977.4609917,70,94,
19,20,119.046234818,37.802881598,1,1,0.0,614.0,321474.04275,0,0,
20,21,119.043344322,37.803295445,1,1,0.0,598.0,316425.52315,0,0,
21,22,119.043686508,37.807242584,3,3,1.0,88.0,47614.304225,70,154,
22,23,119.043228739,37.809732047,3,3,1.0,77.3333333333,44857.444065,117,192,
23,24,119.052234807,37.8136136578,3,3,1.0,85.5,44328.422155,224,625,
24,25,119.057910209,37.8129937926,3,3,1.0,88.6666666667,49170.6866417,70,70,
25,26,119.062049358,37.8155136794,1,1,0.0,602.0,327183.34205,0,0,
26,27,119.050794779,37.81520633,3,3,1.0,81.6666666667,42886.699075,271,738,
27,28,119.04365252,37.814564852,3,3,1.0,74.3333333333,41243.732085,43,120,
